price_tnd,price_eur,Area,pieces,room,bathroom,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
450000.0,139500.0,150.0,12.0,6.0,6.0,0.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000.0,620000.0,1200.0,11.0,4.0,3.0,2.0,36.896544,10.217961,10.6556323701042,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1200000.0,372000.0,1000.0,11.0,5.0,4.0,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1200000.0,372000.0,700.0,11.0,6.0,4.0,1.0,36.8331947,10.1384603,5.60719012128619,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1600000.0,496000.0,680.0,11.0,10.0,5.0,0.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
450000.0,139500.0,600.0,11.0,5.0,2.0,1.0,34.43071,10.38506,260.915300510146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950000.0,294500.0,500.0,11.0,9.0,4.0,1.0,36.883333,10.25,11.3450822580238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
650000.0,201500.0,463.0,11.0,9.0,5.0,1.0,36.954444,10.191389,16.228614774176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1500000.0,465000.0,444.0,11.0,8.0,4.0,1.0,36.8340659405044,10.3196942015908,15.6597258364807,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
560000.0,173600.0,410.0,11.0,6.0,5.0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3600000.0,1116000.0,400.0,11.0,7.0,4.0,0.0,36.8863095400374,10.3202569047241,17.7289905592112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
850000.0,263500.0,400.0,11.0,7.0,5.0,1.0,36.4400652685373,10.6862981689453,68.9669254139542,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
750000.0,232500.0,320.0,11.0,6.0,4.0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
330000.0,102300.0,200.0,11.0,4.0,2.0,1.0,36.8144703,10.1344725,5.30148623956287,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
389000.0,120590.0,161.0,11.0,4.0,2.0,1.0,36.419773,10.661894,68.1327730498967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
825000.0,255750.0,10000.0,10.0,9.0,5.0,1.0,36.8094099,9.9089889,30.3035267006511,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
890000.0,275900.0,6000.0,10.0,3.0,2.0,2.0,36.45056,10.73505,72.8250683705131,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
3500000.0,1085000.0,2700.0,10.0,8.0,6.0,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4500000.0,1395000.0,1370.0,10.0,5.0,5.0,1.0,36.8355152,10.2241758,5.70971665057163,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1900000.0,589000.0,1300.0,10.0,8.0,2.0,0.0,36.83017,10.13736,5.54992694975533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000.0,930000.0,1000.0,10.0,6.0,4.0,2.0,36.4391331020389,10.7014408177673,70.4016892781458,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2750000.0,852500.0,1000.0,10.0,5.0,3.0,1.0,36.8256005,10.1784327,2.11808436783851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900000.0,899000.0,966.0,10.0,6.0,6.0,1.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
890000.0,275900.0,960.0,10.0,4.0,4.0,1.0,34.77064,10.719365,230.51475345782,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2650000.0,821500.0,790.0,10.0,7.0,6.0,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2000000.0,620000.0,780.0,10.0,10.0,6.0,2.0,36.8886935712815,10.1624400830841,9.24213767273838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
980000.0,303800.0,750.0,10.0,8.0,4.0,2.0,36.8567806,10.1157421,9.15165203481795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
950000.0,294500.0,750.0,10.0,8.0,4.0,1.0,36.89147,10.16262,9.53373908202624,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2900000.0,899000.0,700.0,10.0,7.0,6.0,1.0,36.8566,10.3258,16.956028959712,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1000000.0,310000.0,650.0,10.0,8.0,2.0,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
580000.0,179800.0,630.0,10.0,8.0,3.0,2.0,36.0683,9.97244,84.0946305610268,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
800000.0,248000.0,600.0,10.0,8.0,2.0,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
660000.0,204600.0,600.0,10.0,4.0,4.0,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2320000.0,719200.0,550.0,10.0,5.0,5.0,2.0,33.812286276669,10.9869650542156,339.306502968495,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1300000.0,403000.0,550.0,10.0,4.0,2.0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1440000.0,446400.0,454.0,10.0,7.0,4.0,1.0,35.7599477658289,10.5953646785889,123.368063189228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
550000.0,170500.0,446.0,10.0,4.0,2.0,1.0,36.8764423632757,10.3170464992518,16.9037901305011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
620000.0,192200.0,400.0,10.0,8.0,2.0,1.0,36.83017,10.13736,5.54992694975533,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
650000.0,201500.0,380.0,10.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
720000.0,223200.0,320.0,10.0,5.0,3.0,1.0,36.45056,10.73505,72.8250683705131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1300000.0,403000.0,318.0,10.0,8.0,6.0,0.0,36.8194363,10.1705906,1.86442879473874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
450000.0,139500.0,300.0,10.0,7.0,4.0,2.0,36.4093729599124,10.5848518183532,62.435627162284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1250000.0,387500.0,270.0,10.0,8.0,2.0,2.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
590000.0,182900.0,240.0,10.0,7.0,3.0,1.0,36.81881,10.16596,2.19113226059161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
330000.0,102300.0,206.0,10.0,5.0,3.0,2.0,36.876389,10.325278,17.7221901283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
710000.0,220100.0,200.0,10.0,8.0,4.0,0.0,36.833333,10.316667,15.3139811663917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000.0,124000.0,200.0,10.0,6.0,3.0,1.0,36.952,8.7581,159.077297803572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220000.0,68200.0,178.0,10.0,3.0,2.0,1.0,33.7827027917063,11.026704978943,343.587719897206,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
550000.0,170500.0,12000.0,9.0,3.0,2.0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5200000.0,1612000.0,1330.0,9.0,4.0,4.0,0.0,36.8694317,10.3164051,16.5057647881764,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000.0,248000.0,1300.0,9.0,6.0,2.0,2.0,36.952,8.7581,159.077297803572,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1250000.0,387500.0,1104.0,9.0,7.0,4.0,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1600000.0,496000.0,780.0,9.0,9.0,5.0,0.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
